person,title,date,url
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-03-25,https://web.archive.org/web/20160325223631/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-03-31,https://web.archive.org/web/20160331110427/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-04-02,https://web.archive.org/web/20160402012159/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-04-25,https://web.archive.org/web/20160425132044/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Daniel Dewey,"Program Officer, Potential Risks from Advanced Artificial Intelligence",2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-05-20,https://web.archive.org/web/20160520175424/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Daniel Dewey,"Program Officer, Potential Risks from Advanced Artificial Intelligence",2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Jaime Yassif,"Program Officer, Biosecurity and Pandemic Preparedness",2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-06-09,https://web.archive.org/web/20160609030739/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Daniel Dewey,"Program Officer, Potential Risks from Advanced Artificial Intelligence",2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Chris Somerville,Scientific Advisor,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Jaime Yassif,"Program Officer, Biosecurity and Pandemic Preparedness",2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Heather Youngs,Scientific Advisor,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Daniel Martin Alarcon,Scientific Advisor,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Rocio Alba Navarro,Operations Associate,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Claire Zabel,Research Analyst,2016-07-09,https://web.archive.org/web/20160709141810/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Daniel Dewey,"Program Officer, Potential Risks from Advanced Artificial Intelligence",2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Chris Somerville,Scientific Advisor,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Jaime Yassif,"Program Officer, Biosecurity and Pandemic Preparedness",2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Heather Youngs,Scientific Advisor,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Daniel Martin Alarcon,Scientific Advisor,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Rocio Alba Navarro,Research Analyst,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Claire Zabel,Research Analyst,2016-07-24,https://web.archive.org/web/20160724055939/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Daniel Dewey,"Program Officer, Potential Risks from Advanced Artificial Intelligence",2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Chris Somerville,Scientific Advisor,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Jaime Yassif,"Program Officer, Biosecurity and Pandemic Preparedness",2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Heather Youngs,Scientific Advisor,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Daniel Martin Alarcon,Scientific Advisor,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Rocio Alba Navarro,Research Analyst,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Claire Zabel,Research Analyst,2016-08-11,https://web.archive.org/web/20160811163839/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Alexander Berger,"Program Officer, US Policy",2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Lewis Bollard,"Program Officer, Farm Animal Welfare",2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Chloe Cockburn,"Program Officer, Criminal Justice Reform",2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Daniel Dewey,"Program Officer, Potential Risks from Advanced Artificial Intelligence",2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Howie Lempel,"Program Officer, Global Catastrophic Risks",2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Chris Somerville,Scientific Advisor,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Jaime Yassif,"Program Officer, Biosecurity and Pandemic Preparedness",2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Heather Youngs,Scientific Advisor,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Daniel Martin Alarcon,Scientific Advisor,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Luke Muehlhauser,Research Analyst,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Rocio Alba Navarro,Research Analyst,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
David Roodman,Senior Advisor,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Nicole Ross,Operations Associate,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Helen Toner,Research Analyst,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Claire Zabel,Research Analyst,2016-08-13,https://web.archive.org/web/20160813070557/http://www.openphilanthropy.org:80/about/team
Cari Tuna,President,2016-08-23,https://web.archive.org/web/20160823053312/http://www.openphilanthropy.org:80/about/team
Holden Karnofsky,Executive Director,2016-08-23,https://web.archive.org/web/20160823053312/http://www.openphilanthropy.org:80/about/team
Elie Hassenfeld,Managing Director,2016-08-23,https://web.archive.org/web/20160823053312/http://www.openphilanthropy.org:80/about/team
Kaitlyn & Mike Krieger,Funding Partners,2016-08-23,https://web.archive.org/web/20160823053312/http://www.openphilanthropy.org:80/about/team
Nick Beckstead,"Program Officer, Scientific Research",2016-08-23,https://web.archive.org/web/20160823053312/http://www.openphilanthropy.org:80/about/team
